goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-lab-2026-09-24/waste-hunt/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkJWTParts/hmac.Sum(stack)-16               	 6180654	       193.7 ns/op	     128 B/op	       1 allocs/op
BenchmarkJWTParts/hmac.Sum(stack)-16               	 6157248	       193.3 ns/op	     128 B/op	       1 allocs/op
BenchmarkJWTParts/hmac.Sum(stack)-16               	 6161762	       194.1 ns/op	     128 B/op	       1 allocs/op
BenchmarkJWTParts/hmac.Sum(stack)-16               	 6206740	       194.4 ns/op	     128 B/op	       1 allocs/op
BenchmarkJWTHeaderStep/current(decode+unmarshal)-16         	 3045186	       396.1 ns/op	      80 B/op	       2 allocs/op
BenchmarkJWTHeaderStep/current(decode+unmarshal)-16         	 3032559	       394.3 ns/op	      80 B/op	       2 allocs/op
BenchmarkJWTHeaderStep/current(decode+unmarshal)-16         	 3028741	       394.6 ns/op	      80 B/op	       2 allocs/op
BenchmarkJWTHeaderStep/current(decode+unmarshal)-16         	 2992723	       397.9 ns/op	      80 B/op	       2 allocs/op
BenchmarkJWTHeaderStep/current(decode+unmarshal)-16         	 3049881	       396.4 ns/op	      80 B/op	       2 allocs/op
BenchmarkJWTHeaderStep/current(decode+unmarshal)-16         	 3034036	       394.5 ns/op	      80 B/op	       2 allocs/op
BenchmarkJWTHeaderStep/current(decode+unmarshal)-16         	 3020259	       395.2 ns/op	      80 B/op	       2 allocs/op
BenchmarkJWTHeaderStep/current(decode+unmarshal)-16         	 3027044	       396.4 ns/op	      80 B/op	       2 allocs/op
BenchmarkJWTHeaderStep/current(decode+unmarshal)-16         	 3033901	       393.7 ns/op	      80 B/op	       2 allocs/op
BenchmarkJWTHeaderStep/current(decode+unmarshal)-16         	 3005994	       395.4 ns/op	      80 B/op	       2 allocs/op
BenchmarkJWTHeaderStep/alternative(memo-hit)-16             	298759430	         4.019 ns/op	       0 B/op	       0 allocs/op
BenchmarkJWTHeaderStep/alternative(memo-hit)-16             	297760680	         4.027 ns/op	       0 B/op	       0 allocs/op
BenchmarkJWTHeaderStep/alternative(memo-hit)-16             	299801257	         3.986 ns/op	       0 B/op	       0 allocs/op
BenchmarkJWTHeaderStep/alternative(memo-hit)-16             	299561649	         3.980 ns/op	       0 B/op	       0 allocs/op
BenchmarkJWTHeaderStep/alternative(memo-hit)-16             	300304874	         4.029 ns/op	       0 B/op	       0 allocs/op
BenchmarkJWTHeaderStep/alternative(memo-hit)-16             	299118469	         4.058 ns/op	       0 B/op	       0 allocs/op
