# FuzzAddRoute — 5 minute evidence run
# Date (UTC): 2026-09-26T03:11:06Z
# Commit: a7890d973aba8d7c1cabb2560aa16bf4b45017a1
# Go version: go version go1.27.0 linux/amd64
# Host CPU: AMD Ryzen 9 5900HX with Radeon Graphics (16 logical cores)
# Working dir: /data/dev/github.com/FlavioCFOliveira/MuxMaster/reports/path-routing-fuzzer/harness
# Command: go test -mod=mod -run '^$' -fuzz '^FuzzAddRoute$' -fuzztime 5m .
# Note: harness/vendor/ contains a STALE copy of MuxMaster (pre-dates commit
#   7beb168 'fix(tree): parameters never match an empty path segment' and the
#   regex-brace panic fix). -mod=mod forces module resolution via the replace
#   directive (github.com/FlavioCFOliveira/MuxMaster => ../../../), bypassing
#   vendor/ entirely, so this run exercises the CURRENT working-tree tree.go.
# Verified via: 'go list -mod=mod -f {{.Dir}} github.com/FlavioCFOliveira/MuxMaster'
#   => /data/dev/github.com/FlavioCFOliveira/MuxMaster (the live working tree).
################################################################################

=== RUN   FuzzAddRoute
fuzz: elapsed: 0s, gathering baseline coverage: 0/238 completed
fuzz: elapsed: 2m54s, execs: 12297729 (70006/sec), new interesting: 291 (total: 529)
fuzz: elapsed: 2m57s, execs: 12510703 (70991/sec), new interesting: 301 (total: 539)
fuzz: elapsed: 3m0s, execs: 12720619 (69961/sec), new interesting: 316 (total: 554)
fuzz: elapsed: 3m3s, execs: 12931623 (70352/sec), new interesting: 319 (total: 557)
fuzz: elapsed: 3m6s, execs: 13153529 (73950/sec), new interesting: 328 (total: 566)
fuzz: elapsed: 3m9s, execs: 13345880 (64132/sec), new interesting: 346 (total: 584)
fuzz: elapsed: 3m12s, execs: 13579066 (77732/sec), new interesting: 346 (total: 584)
fuzz: elapsed: 3m15s, execs: 13793116 (71342/sec), new interesting: 358 (total: 596)
fuzz: elapsed: 3m18s, execs: 13997683 (68189/sec), new interesting: 381 (total: 619)
fuzz: elapsed: 3m21s, execs: 14209875 (70742/sec), new interesting: 382 (total: 620)
fuzz: elapsed: 3m24s, execs: 14421967 (70694/sec), new interesting: 399 (total: 637)
fuzz: elapsed: 3m27s, execs: 14612691 (63553/sec), new interesting: 412 (total: 650)
fuzz: elapsed: 3m30s, execs: 14837728 (75022/sec), new interesting: 416 (total: 654)
fuzz: elapsed: 3m33s, execs: 15038301 (66867/sec), new interesting: 438 (total: 676)
fuzz: elapsed: 3m36s, execs: 15219518 (60396/sec), new interesting: 439 (total: 677)
fuzz: elapsed: 3m39s, execs: 15469842 (83443/sec), new interesting: 457 (total: 695)
fuzz: elapsed: 3m42s, execs: 15661316 (63803/sec), new interesting: 459 (total: 697)
fuzz: elapsed: 3m45s, execs: 15877355 (72043/sec), new interesting: 492 (total: 730)
fuzz: elapsed: 3m48s, execs: 16065001 (62555/sec), new interesting: 493 (total: 731)
fuzz: elapsed: 3m51s, execs: 16284041 (73014/sec), new interesting: 508 (total: 746)
fuzz: elapsed: 3m54s, execs: 16476709 (64219/sec), new interesting: 518 (total: 756)
fuzz: elapsed: 3m57s, execs: 16688820 (70713/sec), new interesting: 539 (total: 777)
fuzz: elapsed: 4m0s, execs: 16897267 (69480/sec), new interesting: 544 (total: 782)
fuzz: elapsed: 4m3s, execs: 17091447 (64731/sec), new interesting: 562 (total: 800)
fuzz: elapsed: 4m6s, execs: 17298546 (69028/sec), new interesting: 569 (total: 807)
fuzz: elapsed: 4m9s, execs: 17497909 (66449/sec), new interesting: 610 (total: 848)
fuzz: elapsed: 4m12s, execs: 17689101 (63718/sec), new interesting: 612 (total: 850)
fuzz: elapsed: 4m15s, execs: 17892292 (67753/sec), new interesting: 639 (total: 877)
fuzz: elapsed: 4m18s, execs: 18102784 (70152/sec), new interesting: 640 (total: 878)
fuzz: elapsed: 4m21s, execs: 18296053 (64415/sec), new interesting: 651 (total: 889)
fuzz: elapsed: 4m24s, execs: 18497259 (67070/sec), new interesting: 668 (total: 906)
fuzz: elapsed: 4m27s, execs: 18687375 (63372/sec), new interesting: 671 (total: 909)
fuzz: elapsed: 4m30s, execs: 18876801 (63070/sec), new interesting: 709 (total: 947)
fuzz: elapsed: 4m33s, execs: 19086470 (69984/sec), new interesting: 711 (total: 949)
fuzz: elapsed: 4m36s, execs: 19284490 (66010/sec), new interesting: 719 (total: 957)
fuzz: elapsed: 4m39s, execs: 19474864 (63439/sec), new interesting: 742 (total: 980)
fuzz: elapsed: 4m42s, execs: 19661069 (62087/sec), new interesting: 744 (total: 982)
fuzz: elapsed: 4m45s, execs: 19853597 (64158/sec), new interesting: 762 (total: 1000)
fuzz: elapsed: 4m48s, execs: 20058406 (68290/sec), new interesting: 774 (total: 1012)
fuzz: elapsed: 4m51s, execs: 20259536 (67033/sec), new interesting: 779 (total: 1017)
fuzz: elapsed: 4m54s, execs: 20429345 (56605/sec), new interesting: 800 (total: 1038)
fuzz: elapsed: 4m57s, execs: 20657098 (75919/sec), new interesting: 801 (total: 1039)
fuzz: elapsed: 5m0s, execs: 20844084 (62335/sec), new interesting: 805 (total: 1043)
fuzz: elapsed: 5m1s, execs: 20844084 (0/sec), new interesting: 805 (total: 1043)
--- PASS: FuzzAddRoute (300.85s)
=== NAME  
PASS
ok  	prf/harness	300.964s
EXIT_CODE=0
