goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-lab-2026-09-24/waste-hunt/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkCompress/chunked-12KiB/current-16                  	  153319	      7773 ns/op	      58 B/op	       3 allocs/op
BenchmarkCompress/chunked-12KiB/alternative-16              	  154582	      7830 ns/op	      69 B/op	       3 allocs/op
BenchmarkCompress/chunked-12KiB/alternative-16              	  153986	      7797 ns/op	      53 B/op	       3 allocs/op
BenchmarkCompress/chunked-12KiB/alternative-16              	  154672	      7844 ns/op	      58 B/op	       3 allocs/op
BenchmarkFileServe/no-logger/small.css-16                   	    8211	    134899 ns/op	    8440 B/op	      98 allocs/op
BenchmarkFileServe/no-logger/small.css-16                   	    8884	    135449 ns/op	    8517 B/op	      98 allocs/op
BenchmarkFileServe/no-logger/small.css-16                   	    8673	    134883 ns/op	    8461 B/op	      98 allocs/op
BenchmarkFileServe/no-logger/16k.js-16                      	    8276	    139608 ns/op	    8439 B/op	      98 allocs/op
BenchmarkFileServe/no-logger/16k.js-16                      	    8458	    140448 ns/op	    8410 B/op	      98 allocs/op
BenchmarkFileServe/no-logger/16k.js-16                      	    8494	    140357 ns/op	    8406 B/op	      98 allocs/op
BenchmarkFileServe/no-logger/128k.js-16                     	    6316	    183397 ns/op	    8415 B/op	      98 allocs/op
BenchmarkFileServe/no-logger/128k.js-16                     	    6493	    182213 ns/op	    8406 B/op	      98 allocs/op
BenchmarkFileServe/no-logger/128k.js-16                     	    6620	    182558 ns/op	    8365 B/op	      98 allocs/op
BenchmarkFileServe/no-logger/large.bin-16                   	    1930	    602793 ns/op	    8395 B/op	      98 allocs/op
BenchmarkFileServe/no-logger/large.bin-16                   	    1996	    604774 ns/op	    8635 B/op	      98 allocs/op
BenchmarkFileServe/no-logger/large.bin-16                   	    1994	    598506 ns/op	    8604 B/op	      98 allocs/op
BenchmarkFileServe/Logger-current/small.css-16              	    8558	    138379 ns/op	    8493 B/op	      98 allocs/op
BenchmarkFileServe/Logger-current/small.css-16              	    8271	    139511 ns/op	    8524 B/op	      98 allocs/op
BenchmarkFileServe/Logger-current/small.css-16              	    8762	    138775 ns/op	    8585 B/op	      98 allocs/op
BenchmarkFileServe/Logger-current/16k.js-16                 	    8005	    145298 ns/op	    8493 B/op	      98 allocs/op
BenchmarkFileServe/Logger-current/16k.js-16                 	    8352	    145395 ns/op	    8567 B/op	      98 allocs/op
BenchmarkFileServe/Logger-current/16k.js-16                 	    8214	    145269 ns/op	    8491 B/op	      98 allocs/op
BenchmarkFileServe/Logger-current/128k.js-16                	    6439	    185595 ns/op	    8454 B/op	      98 allocs/op
BenchmarkFileServe/Logger-current/128k.js-16                	    6262	    184687 ns/op	    8429 B/op	      98 allocs/op
BenchmarkFileServe/Logger-current/128k.js-16                	    6495	    184049 ns/op	    8520 B/op	      98 allocs/op
BenchmarkFileServe/Logger-current/large.bin-16              	    1956	    605618 ns/op	    8503 B/op	      98 allocs/op
BenchmarkFileServe/Logger-current/large.bin-16              	    1981	    601956 ns/op	    8649 B/op	      98 allocs/op
BenchmarkFileServe/Logger-current/large.bin-16              	    2014	    597578 ns/op	    8420 B/op	      98 allocs/op
BenchmarkFileServe/Logger-with-ReaderFrom/small.css-16      	    8751	    139817 ns/op	    8683 B/op	     102 allocs/op
BenchmarkFileServe/Logger-with-ReaderFrom/small.css-16      	    8478	    140166 ns/op	    8702 B/op	     102 allocs/op
BenchmarkFileServe/Logger-with-ReaderFrom/small.css-16      	    8750	    139579 ns/op	    8640 B/op	     102 allocs/op
BenchmarkFileServe/Logger-with-ReaderFrom/16k.js-16         	    8200	    146014 ns/op	    8651 B/op	     102 allocs/op
