goos: linux
goarch: amd64
pkg: competitor/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkBunRouterParamRoute3-16                 	 6668683	       179.8 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterWildcardRoute-16               	 7783765	       152.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterWildcardRoute-16               	 7895547	       152.5 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterWildcardRoute-16               	 7125745	       153.3 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterNotFound-16                    	 4212051	       275.9 ns/op	     143 B/op	       4 allocs/op
BenchmarkBunRouterNotFound-16                    	 4538217	       275.5 ns/op	     139 B/op	       4 allocs/op
BenchmarkBunRouterNotFound-16                    	 4550544	       274.9 ns/op	     138 B/op	       4 allocs/op
BenchmarkBunRouterParallelStaticRoute-16         	 9661771	       126.3 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelStaticRoute-16         	 9466194	       125.5 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelStaticRoute-16         	 9653145	       126.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelParamRoute-16          	 9543172	       126.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelParamRoute-16          	 9475162	       126.5 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelParamRoute-16          	 9491850	       126.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkChiStaticRoute-16                       	 5560527	       218.1 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiStaticRoute-16                       	 5488992	       216.9 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiStaticRoute-16                       	 5534919	       217.9 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiParamRoute1-16                       	 3310122	       359.2 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute1-16                       	 3281134	       361.4 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute1-16                       	 3330873	       360.7 ns/op	     704 B/op	       4 allocs/op
