goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkFastParamRoute3-16             	14422467	        80.72 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	82769197	        16.24 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	73543692	        16.66 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	74362028	        16.58 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	72871198	        16.69 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	73139834	        16.83 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	70585228	        16.88 ns/op	      32 B/op	       1 allocs/op
BenchmarkPooledParamRoute1-16           	23030830	        48.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	24912343	        48.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	24922099	        47.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	25139908	        47.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	25556514	        51.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	25606599	        47.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20486360	        58.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20434074	        58.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20770996	        59.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20384931	        58.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20508931	        59.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20451075	        59.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	19248985	        63.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	19052060	        63.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	19214306	        63.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	19436227	        62.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	18429742	        62.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	19206938	        63.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledWildcardRoute-16         	25007122	        48.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledWildcardRoute-16         	24947139	        51.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledWildcardRoute-16         	25158681	        48.69 ns/op	       0 B/op	       0 allocs/op
