goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-lab-2026-09-24/waste-hunt/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkText/current-16                   	26857434	        44.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkText/current-16                   	26692374	        45.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkText/current-16                   	26459019	        44.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkText/current-16                   	26563906	        45.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkText/current-16                   	26919627	        44.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkText/current-16                   	26822718	        44.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkText/alternative-16               	26731826	        44.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkText/alternative-16               	26679607	        44.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkText/alternative-16               	26738024	        45.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkText/alternative-16               	26167791	        44.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkText/alternative-16               	26701084	        45.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkText/alternative-16               	26423577	        45.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkJSONHelper-16                     	 2628649	       454.6 ns/op	     160 B/op	       2 allocs/op
BenchmarkJSONHelper-16                     	 2628088	       458.4 ns/op	     160 B/op	       2 allocs/op
BenchmarkJSONHelper-16                     	 2630158	       457.1 ns/op	     160 B/op	       2 allocs/op
BenchmarkJSONHelper-16                     	 2640230	       454.5 ns/op	     160 B/op	       2 allocs/op
BenchmarkJSONHelper-16                     	 2616463	       458.2 ns/op	     160 B/op	       2 allocs/op
BenchmarkJSONHelper-16                     	 2615119	       455.2 ns/op	     160 B/op	       2 allocs/op
BenchmarkHeaderSetConst/Header.Set-16      	31368127	        37.99 ns/op	      16 B/op	       1 allocs/op
BenchmarkHeaderSetConst/Header.Set-16      	30744856	        38.21 ns/op	      16 B/op	       1 allocs/op
BenchmarkHeaderSetConst/Header.Set-16      	30239570	        38.16 ns/op	      16 B/op	       1 allocs/op
BenchmarkHeaderSetConst/Header.Set-16      	31151612	        38.18 ns/op	      16 B/op	       1 allocs/op
BenchmarkHeaderSetConst/Header.Set-16      	30290589	        38.12 ns/op	      16 B/op	       1 allocs/op
BenchmarkHeaderSetConst/Header.Set-16      	31175862	        38.12 ns/op	      16 B/op	       1 allocs/op
BenchmarkHeaderSetConst/prealloc-assign-16 	122793849	         9.809 ns/op	       0 B/op	       0 allocs/op
BenchmarkHeaderSetConst/prealloc-assign-16 	121730425	         9.825 ns/op	       0 B/op	       0 allocs/op
BenchmarkHeaderSetConst/prealloc-assign-16 	100000000	        10.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkHeaderSetConst/prealloc-assign-16 	122022667	         9.830 ns/op	       0 B/op	       0 allocs/op
BenchmarkHeaderSetConst/prealloc-assign-16 	122800905	         9.857 ns/op	       0 B/op	       0 allocs/op
BenchmarkHeaderSetConst/prealloc-assign-16 	122469003	         9.721 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/FlavioCFOliveira/MuxMaster/reports/perf-lab-2026-09-24/waste-hunt/bench	134.057s
