goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkFastParamRoute3-16             	15456685	        75.90 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	87603991	        15.83 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	68844595	        15.77 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	75267476	        16.07 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	73966520	        16.15 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	73920060	        16.17 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	75202246	        16.10 ns/op	      32 B/op	       1 allocs/op
BenchmarkPooledParamRoute1-16           	27683278	        46.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	26830490	        44.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	27072646	        44.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	27218377	        44.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	27587445	        45.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	27214281	        45.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20430207	        59.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20406331	        59.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20228212	        59.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20885139	        59.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20944944	        59.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20359107	        59.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	18711148	        64.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	18820123	        64.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	18663812	        64.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	18652424	        64.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	18793238	        64.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	18698198	        64.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledWildcardRoute-16         	26236660	        46.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledWildcardRoute-16         	26369500	        45.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledWildcardRoute-16         	27023846	        45.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledWildcardRoute-16         	26894534	        45.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledWildcardRoute-16         	26904936	        48.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledWildcardRoute-16         	26980986	        46.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParallelParamRoute-16    	195441926	         6.251 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParallelParamRoute-16    	190914160	         6.321 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParallelParamRoute-16    	188324937	         6.401 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParallelParamRoute-16    	180830367	         6.430 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParallelParamRoute-16    	183976195	         6.430 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParallelParamRoute-16    	186425698	         6.508 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/FlavioCFOliveira/MuxMaster	135.448s
