goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/middleware
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkCompress/chunked-12KiB-16                      	  152707	      7799 ns/op	      53 B/op	       3 allocs/op
BenchmarkRealIP/1-hop-16                                	 7864917	       150.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/1-hop-16                                	 7943050	       150.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/1-hop-16                                	 7858294	       151.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/1-hop-16                                	 7863621	       151.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/1-hop-16                                	 7880356	       150.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/1-hop-16                                	 7877386	       150.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/1-hop-16                                	 7840448	       151.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/1-hop-16                                	 7865810	       151.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/1-hop-16                                	 7771148	       161.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/1-hop-16                                	 7533319	       160.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/3-hops-16                               	 6111310	       193.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/3-hops-16                               	 6176479	       193.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/3-hops-16                               	 6159081	       193.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/3-hops-16                               	 6181701	       193.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/3-hops-16                               	 6201400	       193.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/3-hops-16                               	 6174679	       192.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/3-hops-16                               	 6148592	       193.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/3-hops-16                               	 6135824	       193.2 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/3-hops-16                               	 6114486	       193.4 ns/op	      16 B/op	       1 allocs/op
BenchmarkRealIP/3-hops-16                               	 6121754	       193.3 ns/op	      16 B/op	       1 allocs/op
BenchmarkAPIKeyHit-16                                   	 2697820	       446.7 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit-16                                   	 2696871	       444.9 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit-16                                   	 2706172	       445.6 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit-16                                   	 2685580	       444.5 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit-16                                   	 2690919	       444.5 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit-16                                   	 2691589	       442.3 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit-16                                   	 2712926	       442.4 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit-16                                   	 2713944	       442.0 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit-16                                   	 2723892	       440.8 ns/op	     416 B/op	       6 allocs/op
BenchmarkAPIKeyHit-16                                   	 2723714	       443.4 ns/op	     416 B/op	       6 allocs/op
BenchmarkJWTAuthHS256-16                                	  265084	      4414 ns/op	     738 B/op	       7 allocs/op
BenchmarkJWTAuthHS256-16                                	  263444	      4413 ns/op	     738 B/op	       7 allocs/op
BenchmarkJWTAuthHS256-16                                	  263443	      4410 ns/op	     738 B/op	       7 allocs/op
BenchmarkJWTAuthHS256-16                                	  264255	      4395 ns/op	     738 B/op	       7 allocs/op
BenchmarkJWTAuthHS256-16                                	  269144	      4394 ns/op	     738 B/op	       7 allocs/op
BenchmarkJWTAuthHS256-16                                	  259532	      4405 ns/op	     738 B/op	       7 allocs/op
BenchmarkJWTAuthHS256-16                                	  265107	      4414 ns/op	     738 B/op	       7 allocs/op
BenchmarkJWTAuthHS256-16                                	  262802	      4402 ns/op	     738 B/op	       7 allocs/op
BenchmarkJWTAuthHS256-16                                	  269240	      4438 ns/op	     738 B/op	       7 allocs/op
BenchmarkJWTAuthHS256-16                                	  264130	      4425 ns/op	     738 B/op	       7 allocs/op
PASS
ok  	github.com/FlavioCFOliveira/MuxMaster/middleware	135.126s
