goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-audit-2026-05-12
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkNestedGroupDispatch-16                  	10781911	       110.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	10829011	       110.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	10655745	       111.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	10632376	       110.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	10635799	       111.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	10380109	       121.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	11500984	       115.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	10828383	       110.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	10770873	       110.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	11070760	       110.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkRedirectTSL-16                          	 1831693	       652.2 ns/op	    1088 B/op	      11 allocs/op
BenchmarkRedirectTSL-16                          	 1843798	       651.2 ns/op	    1088 B/op	      11 allocs/op
BenchmarkRedirectTSL-16                          	 1818854	       650.8 ns/op	    1088 B/op	      11 allocs/op
BenchmarkRedirectTSL-16                          	 1834693	       653.5 ns/op	    1088 B/op	      11 allocs/op
BenchmarkRedirectTSL-16                          	 1851175	       651.8 ns/op	    1088 B/op	      11 allocs/op
BenchmarkRedirectTSL-16                          	 1827854	       671.9 ns/op	    1088 B/op	      11 allocs/op
BenchmarkRedirectTSL-16                          	 1814732	       654.7 ns/op	    1088 B/op	      11 allocs/op
BenchmarkRedirectTSL-16                          	 1841120	       656.7 ns/op	    1088 B/op	      11 allocs/op
BenchmarkRedirectTSL-16                          	 1833621	       649.9 ns/op	    1088 B/op	      11 allocs/op
BenchmarkRedirectTSL-16                          	 1841113	       652.6 ns/op	    1088 B/op	      11 allocs/op
BenchmarkRedirectTSLWithMiddleware-16            	 1491073	       806.5 ns/op	    1440 B/op	      12 allocs/op
BenchmarkRedirectTSLWithMiddleware-16            	 1496139	       798.6 ns/op	    1440 B/op	      12 allocs/op
BenchmarkRedirectTSLWithMiddleware-16            	 1492689	       812.9 ns/op	    1440 B/op	      12 allocs/op
BenchmarkRedirectTSLWithMiddleware-16            	 1483104	       805.4 ns/op	    1440 B/op	      12 allocs/op
BenchmarkRedirectTSLWithMiddleware-16            	 1480112	       798.7 ns/op	    1440 B/op	      12 allocs/op
BenchmarkRedirectTSLWithMiddleware-16            	 1499239	       804.4 ns/op	    1440 B/op	      12 allocs/op
BenchmarkRedirectTSLWithMiddleware-16            	 1473050	       805.6 ns/op	    1440 B/op	      12 allocs/op
BenchmarkRedirectTSLWithMiddleware-16            	 1500696	       812.5 ns/op	    1440 B/op	      12 allocs/op
BenchmarkRedirectTSLWithMiddleware-16            	 1476652	       808.5 ns/op	    1440 B/op	      12 allocs/op
BenchmarkRedirectTSLWithMiddleware-16            	 1479828	       803.3 ns/op	    1440 B/op	      12 allocs/op
BenchmarkParallelRedirectTrailingSlash-16        	10770238	       114.4 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallelRedirectTrailingSlash-16        	10228557	       115.7 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallelRedirectTrailingSlash-16        	10181600	       115.6 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallelRedirectTrailingSlash-16        	10336582	       116.9 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallelRedirectTrailingSlash-16        	10185331	       116.9 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallelRedirectTrailingSlash-16        	10231164	       117.8 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallelRedirectTrailingSlash-16        	10396452	       116.9 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallelRedirectTrailingSlash-16        	10425856	       117.5 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallelRedirectTrailingSlash-16        	10492888	       118.2 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallelRedirectTrailingSlash-16        	10181679	       118.2 ns/op	     368 B/op	       2 allocs/op
BenchmarkPathParamLookup-16                      	 9378417	       125.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	 9451348	       125.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	 9610114	       125.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	 9724532	       126.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	 9628495	       124.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	 9444200	       124.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	 9550988	       126.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	 9319216	       125.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	 9550892	       123.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	 9535098	       124.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	31049238	        37.88 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	31779685	        37.40 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	31010403	        37.62 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	31610480	        37.45 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	30848716	        38.42 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	31075183	        37.54 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	30115305	        37.50 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	30800826	        37.42 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	30898922	        37.57 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	30452102	        37.54 ns/op	      32 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	 9307681	       129.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	 9578163	       132.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	 9050110	       129.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	 8881486	       132.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	 9127156	       133.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	 8804350	       133.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	 8934390	       133.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	 8974101	       132.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	 8907603	       132.4 ns/op	     416 B/op	       1 allocs/op
