goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkParallelStaticRoute-16         	288073072	         4.187 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	287306821	         4.206 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	286567810	         4.234 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	283727395	         4.212 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelParamRoute-16          	11695484	       104.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11356485	       104.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11751768	       104.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11583159	       104.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11485742	       105.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11332434	       104.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11450386	       105.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11703961	       101.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11306766	       101.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11851710	       101.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkFastStaticRoute-16             	40310691	        29.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	41701659	        29.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	43147041	        29.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	42761850	        28.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	42413295	        28.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	42615696	        28.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	42544257	        29.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	42663207	        28.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	42083155	        28.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	41528395	        29.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastParamRoute1-16             	25272002	        47.19 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	24451044	        47.06 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	24681740	        47.03 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	25042779	        47.00 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	23968464	        47.23 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	24399272	        47.02 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	25071429	        47.19 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	25088599	        47.00 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	24613605	        47.02 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	24751644	        48.24 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	18016945	        66.19 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	17826610	        65.25 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	18065232	        65.51 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	17925666	        65.56 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	17899578	        65.33 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	17856141	        65.37 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	17808225	        65.46 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	17467640	        65.44 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	17787890	        65.83 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	18191779	        65.25 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	14187789	        83.90 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	14093581	        84.47 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	14160229	        83.90 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	14212776	        84.26 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	14290536	        87.96 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	14147566	        83.90 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	14394890	        83.98 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	14256350	        83.51 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	14256859	        84.02 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	14041268	        83.87 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	96421446	        16.63 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	70812648	        16.76 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	71699154	        16.65 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	72662796	        16.58 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	70414770	        16.96 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	72017415	        16.79 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	73685224	        16.67 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	72764655	        16.79 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	71239256	        17.04 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	71594286	        16.88 ns/op	      32 B/op	       1 allocs/op
BenchmarkPooledParamRoute1-16           	24289069	        47.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	25937192	        46.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	27043624	        46.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	26788069	        46.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	25915558	        45.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	26703842	        46.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	26166414	        45.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	26017708	        45.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	26170758	        45.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	26611734	        45.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20083630	        61.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	19916499	        61.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20424045	        60.79 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20318353	        60.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20262666	        62.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20516206	        59.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20235151	        61.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20736631	        60.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20675893	        59.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	20638466	        59.93 ns/op	       0 B/op	       0 allocs/op
