goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-audit-2026-05-12
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkNestedGroupDispatch-16                  	11727457	        99.41 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	11722352	        99.98 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	12424760	       100.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	12115549	        99.62 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	11325735	       101.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	11959626	       101.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	11804468	       101.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	11742316	       100.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	11804906	       100.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkRedirectTSL-16                          	 1932325	       615.3 ns/op	    1088 B/op	      10 allocs/op
BenchmarkRedirectTSL-16                          	 1949354	       619.6 ns/op	    1088 B/op	      10 allocs/op
BenchmarkRedirectTSL-16                          	 1936501	       618.0 ns/op	    1088 B/op	      10 allocs/op
BenchmarkRedirectTSL-16                          	 1934066	       618.0 ns/op	    1088 B/op	      10 allocs/op
BenchmarkRedirectTSL-16                          	 1928487	       621.1 ns/op	    1088 B/op	      10 allocs/op
BenchmarkRedirectTSL-16                          	 1927016	       620.3 ns/op	    1088 B/op	      10 allocs/op
BenchmarkRedirectTSL-16                          	 1949044	       620.1 ns/op	    1088 B/op	      10 allocs/op
BenchmarkRedirectTSL-16                          	 1930564	       615.1 ns/op	    1088 B/op	      10 allocs/op
BenchmarkRedirectTSL-16                          	 1934932	       617.4 ns/op	    1088 B/op	      10 allocs/op
BenchmarkRedirectTSL-16                          	 1956573	       614.5 ns/op	    1088 B/op	      10 allocs/op
BenchmarkRedirectTSLWithMiddleware-16            	 1612405	       753.2 ns/op	    1440 B/op	      11 allocs/op
BenchmarkRedirectTSLWithMiddleware-16            	 1608900	       754.9 ns/op	    1440 B/op	      11 allocs/op
BenchmarkRedirectTSLWithMiddleware-16            	 1625286	       741.6 ns/op	    1440 B/op	      11 allocs/op
BenchmarkRedirectTSLWithMiddleware-16            	 1592535	       745.5 ns/op	    1440 B/op	      11 allocs/op
BenchmarkRedirectTSLWithMiddleware-16            	 1612156	       753.5 ns/op	    1440 B/op	      11 allocs/op
BenchmarkRedirectTSLWithMiddleware-16            	 1600954	       748.6 ns/op	    1440 B/op	      11 allocs/op
BenchmarkRedirectTSLWithMiddleware-16            	 1601514	       744.7 ns/op	    1440 B/op	      11 allocs/op
BenchmarkRedirectTSLWithMiddleware-16            	 1605739	       744.0 ns/op	    1440 B/op	      11 allocs/op
BenchmarkRedirectTSLWithMiddleware-16            	 1609940	       750.4 ns/op	    1440 B/op	      11 allocs/op
BenchmarkRedirectTSLWithMiddleware-16            	 1604133	       745.4 ns/op	    1440 B/op	      11 allocs/op
BenchmarkParallelRedirectTrailingSlash-16        	10590613	       114.7 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallelRedirectTrailingSlash-16        	10340934	       115.2 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallelRedirectTrailingSlash-16        	10689998	       116.6 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallelRedirectTrailingSlash-16        	10399789	       116.0 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallelRedirectTrailingSlash-16        	10182320	       116.9 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallelRedirectTrailingSlash-16        	10393536	       117.0 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallelRedirectTrailingSlash-16        	10170663	       116.7 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallelRedirectTrailingSlash-16        	10269459	       117.7 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallelRedirectTrailingSlash-16        	10145121	       118.5 ns/op	     368 B/op	       2 allocs/op
BenchmarkParallelRedirectTrailingSlash-16        	10332165	       117.4 ns/op	     368 B/op	       2 allocs/op
BenchmarkPathParamLookup-16                      	10052414	       117.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	10351020	       116.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	10362438	       116.7 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	10248717	       115.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	10154829	       116.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	10182567	       116.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	10077537	       116.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	10407172	       116.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	10203115	       115.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamLookup-16                      	10152225	       116.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	32305952	        36.37 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	32438857	        36.49 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	32065569	        36.19 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	31989747	        36.22 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	31492526	        36.31 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	32289074	        36.37 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	30503632	        36.25 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	32242418	        36.64 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	31493335	        36.16 ns/op	      32 B/op	       1 allocs/op
BenchmarkPathParamFast-16                        	31942290	        36.39 ns/op	      32 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	 9640008	       122.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	 9354582	       124.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	 9765151	       124.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	 9724116	       123.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamsFromContext-16                    	 9770654	       123.7 ns/op	     416 B/op	       1 allocs/op
