goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkParallelStaticRoute-16         	240129522	         5.036 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	238267843	         5.049 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	220808868	         5.075 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	237174859	         5.093 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	236911072	         5.090 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelParamRoute-16          	11620689	       106.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11290159	       106.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11422196	       105.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11487796	       105.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11389026	       106.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11304546	       106.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11373284	       106.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11098143	       104.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11408286	       103.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11476178	       103.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkFastStaticRoute-16             	34632118	        34.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	37178763	        34.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	36792636	        33.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	36261205	        33.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	36688302	        32.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	36586117	        32.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	37006356	        33.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	37287603	        33.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	35446250	        33.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	37229107	        32.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastParamRoute1-16             	22690180	        50.73 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	22578397	        51.09 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	23265997	        51.08 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	22722828	        50.94 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	22811703	        50.93 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	22969152	        51.05 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	23257461	        51.00 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	23063590	        50.83 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	23211463	        50.67 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	23379618	        50.80 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	16124439	        74.35 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	16016353	        74.03 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	16024478	        74.89 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	15655039	        79.25 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	15827049	        77.59 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	15972532	        74.08 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	16030338	        74.11 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	16038088	        74.27 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	16010500	        74.20 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	15950053	        74.23 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	13071465	        90.10 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	13152242	        89.58 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	13163982	        90.06 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	13172438	        89.10 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	13030226	        89.57 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	13394515	        89.85 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	13215894	        89.41 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	13365652	        89.58 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	13227075	        89.37 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	13495896	        89.63 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	88467657	        17.09 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	69035432	        17.03 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	73149295	        17.15 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	71600749	        17.10 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	75043548	        17.10 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	68198576	        17.19 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	69192783	        17.33 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	67524501	        17.23 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	69779815	        17.41 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	72154605	        17.27 ns/op	      32 B/op	       1 allocs/op
BenchmarkPooledParamRoute1-16           	22813630	        53.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	23236941	        52.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	24225877	        52.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	22512530	        52.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	22839132	        52.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	24150009	        52.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	23422185	        51.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	23249799	        51.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	23115766	        51.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute1-16           	23648883	        51.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	17504078	        69.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	17692924	        68.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	17486548	        67.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	17746376	        68.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	17716549	        68.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	17823954	        68.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	17906934	        67.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	17641657	        68.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	17581363	        68.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute2-16           	17320580	        67.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	17353888	        69.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	17509302	        70.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	17390353	        70.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	17416882	        69.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	17365026	        70.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	17357218	        69.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	17176395	        69.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	17284875	        69.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	17200519	        69.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParamRoute3-16           	17349891	        69.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledWildcardRoute-16         	24176677	        50.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledWildcardRoute-16         	23791059	        50.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledWildcardRoute-16         	24120607	        50.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledWildcardRoute-16         	23801703	        50.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledWildcardRoute-16         	24375301	        50.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledWildcardRoute-16         	24483463	        50.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledWildcardRoute-16         	24475963	        50.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledWildcardRoute-16         	23517937	        50.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledWildcardRoute-16         	24058764	        50.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledWildcardRoute-16         	24707379	        49.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParallelParamRoute-16    	164568370	         7.423 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParallelParamRoute-16    	160707562	         7.498 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParallelParamRoute-16    	159663393	         7.559 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParallelParamRoute-16    	150861151	         8.165 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParallelParamRoute-16    	153491271	         7.643 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParallelParamRoute-16    	156373106	         7.664 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParallelParamRoute-16    	156436232	         7.684 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParallelParamRoute-16    	156472116	         7.697 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParallelParamRoute-16    	155966037	         7.747 ns/op	       0 B/op	       0 allocs/op
BenchmarkPooledParallelParamRoute-16    	155751316	         7.751 ns/op	       0 B/op	       0 allocs/op
BenchmarkRegisterRoutes/N=100-16        	   21504	     55098 ns/op	       551.0 ns/route	   86784 B/op	    1135 allocs/op
BenchmarkRegisterRoutes/N=100-16        	   21859	     54996 ns/op	       550.0 ns/route	   86785 B/op	    1135 allocs/op
BenchmarkRegisterRoutes/N=100-16        	   22129	     54106 ns/op	       541.1 ns/route	   86785 B/op	    1135 allocs/op
BenchmarkRegisterRoutes/N=100-16        	   21939	     54182 ns/op	       541.8 ns/route	   86785 B/op	    1135 allocs/op
BenchmarkRegisterRoutes/N=100-16        	   21828	     54452 ns/op	       544.5 ns/route	   86785 B/op	    1135 allocs/op
BenchmarkRegisterRoutes/N=100-16        	   21870	     54399 ns/op	       544.0 ns/route	   86785 B/op	    1135 allocs/op
BenchmarkRegisterRoutes/N=100-16        	   22347	     53579 ns/op	       535.8 ns/route	   86785 B/op	    1135 allocs/op
BenchmarkRegisterRoutes/N=100-16        	   22440	     53521 ns/op	       535.2 ns/route	   86785 B/op	    1135 allocs/op
