goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster/reports/perf-audit-2026-05-12
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkNestedGroupDispatch-16                  	12460011	        95.57 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	12380259	        95.44 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	12090030	        96.67 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	12593170	        95.10 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	12434005	        96.26 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	12223014	        95.97 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	12686629	        95.88 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	12226570	        95.74 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	12660846	        97.10 ns/op	     384 B/op	       1 allocs/op
BenchmarkNestedGroupDispatch-16                  	12510944	        96.14 ns/op	     384 B/op	       1 allocs/op
BenchmarkRedirectTSL-16                          	 1411062	       841.3 ns/op	    1248 B/op	      13 allocs/op
BenchmarkRedirectTSL-16                          	 1433943	       846.9 ns/op	    1248 B/op	      13 allocs/op
BenchmarkRedirectTSL-16                          	 1337055	       899.6 ns/op	    1248 B/op	      13 allocs/op
BenchmarkRedirectTSL-16                          	 1326214	       841.6 ns/op	    1248 B/op	      13 allocs/op
BenchmarkRedirectTSL-16                          	 1418917	       846.0 ns/op	    1248 B/op	      13 allocs/op
BenchmarkRedirectTSL-16                          	 1419254	       847.0 ns/op	    1248 B/op	      13 allocs/op
BenchmarkRedirectTSL-16                          	 1417519	       848.7 ns/op	    1248 B/op	      13 allocs/op
BenchmarkRedirectTSL-16                          	 1423324	       844.7 ns/op	    1248 B/op	      13 allocs/op
BenchmarkRedirectTSL-16                          	 1424349	       848.3 ns/op	    1248 B/op	      13 allocs/op
BenchmarkRedirectTSL-16                          	 1420129	       841.6 ns/op	    1248 B/op	      13 allocs/op
BenchmarkPathParamLookup-16                      	11107078	       113.5 ns/op	     384 B/op	       1 allocs/op
