goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkParallelStaticRoute-16         	279669163	         4.188 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	285921631	         4.211 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	284906170	         4.218 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	283760425	         4.232 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelParamRoute-16          	11356149	       105.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11620081	       105.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11534552	       105.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11245528	       105.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11312634	       105.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11331973	       105.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11428164	       105.1 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11341772	       102.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11455792	       102.9 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11917177	       103.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkFastStaticRoute-16             	39221872	        29.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	42685422	        29.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	42626647	        29.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	42562340	        29.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	42121593	        29.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	42394833	        29.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	42446990	        28.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	41639365	        28.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	42994326	        28.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	43291911	        28.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastParamRoute1-16             	24335616	        47.69 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	24829692	        47.67 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	24742412	        47.68 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	24140685	        47.46 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	24484702	        47.70 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	24801735	        47.77 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	25004439	        47.45 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	24936504	        47.57 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	25162376	        47.77 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16             	24758491	        47.50 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	17869296	        66.41 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	17628823	        66.27 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	17668124	        66.25 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	17580985	        66.25 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	18060130	        66.79 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	18003265	        66.40 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	18067842	        66.25 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	17680814	        66.24 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	17824934	        66.13 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16             	17861716	        66.06 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	13965448	        84.70 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	13898616	        85.01 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	13903305	        85.10 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	14417898	        85.29 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	13996917	        84.93 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	14025722	        85.61 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	14284246	        85.38 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	13716076	        85.08 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	14130412	        85.00 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16             	14006878	        84.24 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	92027136	        16.32 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	74288427	        16.36 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	74946895	        16.59 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	74235145	        16.21 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	74045113	        16.46 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParallelParamRoute-16      	73388534	        16.53 ns/op	      32 B/op	       1 allocs/op
