goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkParallelStaticRoute-16         	324407676	         3.720 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	323647248	         3.708 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	322335501	         3.723 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelStaticRoute-16         	320679570	         3.739 ns/op	       0 B/op	       0 allocs/op
BenchmarkParallelParamRoute-16          	11204976	       107.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11007516	       107.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11183541	       107.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11214154	       107.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11259747	       108.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11365656	       108.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11008954	       107.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	10911938	       106.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11375701	       104.2 ns/op	     384 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16          	11489194	       105.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkFastStaticRoute-16             	47350582	        26.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	45633570	        26.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	47766562	        26.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	45860736	        25.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	46999057	        25.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	48445911	        25.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	47565168	        26.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	48717206	        25.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	47871570	        25.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastStaticRoute-16             	48419287	        25.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkFastParamRoute1-16             	26689209	        43.68 ns/op	      32 B/op	       1 allocs/op
