goos: linux
goarch: amd64
pkg: competitor/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkMuxMasterNotFound-16                    	 8826495	       295.1 ns/op	     108 B/op	       3 allocs/op
BenchmarkMuxMasterParallelStaticRoute-16         	605698755	         4.078 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParallelStaticRoute-16         	584774616	         4.138 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParallelStaticRoute-16         	590290874	         4.139 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParallelStaticRoute-16         	573194491	         4.173 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParallelStaticRoute-16         	573841081	         4.173 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParallelStaticRoute-16         	574237126	         4.191 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParallelStaticRoute-16         	571487390	         4.163 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParallelStaticRoute-16         	581053273	         4.106 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParallelStaticRoute-16         	574852033	         5.904 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParallelStaticRoute-16         	333282580	         8.119 ns/op	       0 B/op	       0 allocs/op
BenchmarkMuxMasterParallelParamRoute-16          	 4020489	       567.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParallelParamRoute-16          	 7797384	       311.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParallelParamRoute-16          	 6491312	       322.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParallelParamRoute-16          	 8074345	       329.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParallelParamRoute-16          	 7212032	       297.3 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParallelParamRoute-16          	 7185573	       317.6 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParallelParamRoute-16          	 7633711	       312.4 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParallelParamRoute-16          	 6823650	       308.8 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParallelParamRoute-16          	 7949073	       310.0 ns/op	     384 B/op	       1 allocs/op
BenchmarkMuxMasterParallelParamRoute-16          	 7120092	       321.5 ns/op	     384 B/op	       1 allocs/op
BenchmarkHTTProuterStaticRoute-16                	25744903	        92.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterStaticRoute-16                	25162854	        88.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterStaticRoute-16                	26380828	        77.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterStaticRoute-16                	66889478	        35.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterStaticRoute-16                	69674106	        35.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterStaticRoute-16                	67578642	        34.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterStaticRoute-16                	68602777	        34.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterStaticRoute-16                	70938986	        34.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterStaticRoute-16                	71062508	        34.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterStaticRoute-16                	71049578	        34.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterParamRoute1-16                	41686065	        56.57 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute1-16                	42800026	        56.47 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute1-16                	41723368	        56.99 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute1-16                	42322861	        57.28 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute1-16                	42091287	        57.21 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute1-16                	42126531	        57.17 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute1-16                	43244442	        57.31 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute1-16                	40502583	        56.93 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute1-16                	41334714	        57.00 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute1-16                	41308528	        56.91 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute2-16                	35891872	        66.88 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute2-16                	35505301	        66.71 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute2-16                	35329099	        66.44 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute2-16                	36012842	        66.45 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute2-16                	36370990	        66.21 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute2-16                	35367388	        66.33 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute2-16                	35493272	        66.06 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute2-16                	36126919	        66.37 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute2-16                	31037419	        66.44 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute2-16                	36132770	        66.21 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute3-16                	32049487	        75.02 ns/op	      96 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute3-16                	31360813	        74.71 ns/op	      96 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute3-16                	31474015	        74.65 ns/op	      96 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute3-16                	31414827	        74.67 ns/op	      96 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute3-16                	31607155	        74.84 ns/op	      96 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute3-16                	31880835	        74.59 ns/op	      96 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute3-16                	32080215	        74.28 ns/op	      96 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute3-16                	32533550	        74.94 ns/op	      96 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute3-16                	32225222	        74.42 ns/op	      96 B/op	       1 allocs/op
BenchmarkHTTProuterParamRoute3-16                	32181613	        74.49 ns/op	      96 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16              	46319275	        49.40 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16              	48944020	        48.78 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16              	48708834	        48.65 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16              	47858352	        48.90 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16              	48628119	        48.85 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16              	48113521	        49.49 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16              	46735303	        49.00 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16              	48185712	        48.86 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16              	48209372	        48.73 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16              	48952947	        48.62 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterNotFound-16                   	 5645278	       409.7 ns/op	      95 B/op	       3 allocs/op
BenchmarkHTTProuterNotFound-16                   	 6049076	       407.8 ns/op	      92 B/op	       3 allocs/op
BenchmarkHTTProuterNotFound-16                   	 5884347	       411.2 ns/op	      93 B/op	       3 allocs/op
BenchmarkHTTProuterNotFound-16                   	 5871886	       411.2 ns/op	      93 B/op	       3 allocs/op
BenchmarkHTTProuterNotFound-16                   	 5798476	       414.8 ns/op	      94 B/op	       3 allocs/op
BenchmarkHTTProuterNotFound-16                   	 5718105	       416.0 ns/op	      94 B/op	       3 allocs/op
BenchmarkHTTProuterNotFound-16                   	 5717383	       414.5 ns/op	      94 B/op	       3 allocs/op
BenchmarkHTTProuterNotFound-16                   	 5739621	       417.5 ns/op	      94 B/op	       3 allocs/op
BenchmarkHTTProuterNotFound-16                   	 5740686	       413.6 ns/op	      94 B/op	       3 allocs/op
BenchmarkHTTProuterNotFound-16                   	 5735703	       418.7 ns/op	      94 B/op	       3 allocs/op
BenchmarkHTTProuterParallelStaticRoute-16        	519943150	         4.713 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterParallelStaticRoute-16        	505583029	         4.739 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterParallelStaticRoute-16        	506889866	         4.767 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterParallelStaticRoute-16        	503331842	         4.765 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterParallelStaticRoute-16        	500543103	         4.801 ns/op	       0 B/op	       0 allocs/op
