goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16           	47436972	        24.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	47817589	        25.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	47268752	        25.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	46884506	        25.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	47241590	        25.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	46822028	        25.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	47640189	        25.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	46932148	        25.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	46790154	        25.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	46659147	        25.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16           	10851429	       111.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	10741426	       111.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	10686921	       110.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	11134650	       109.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	11016396	       109.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	10527954	       110.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	10713604	       109.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	10735084	       109.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	10844827	       111.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	11050341	       110.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8830998	       135.4 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 9028392	       133.9 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8828112	       133.7 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8106381	       134.5 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8659315	       135.0 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8880760	       135.2 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8898072	       133.8 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 9071828	       134.6 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8761830	       134.8 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8919432	       133.4 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8728336	       137.0 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8835975	       139.0 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8406124	       140.3 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8483718	       139.7 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8729707	       138.2 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8566573	       139.5 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8713388	       136.9 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8501269	       136.4 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8373781	       138.9 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8662696	       138.0 ns/op	     480 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	10865644	       110.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	10871352	       108.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	10858819	       109.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	10865419	       109.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	10676202	       107.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	10854690	       108.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	10786118	       110.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	11268594	       108.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	10736558	       109.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	10725386	       111.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16    	12149917	       101.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16    	11754499	       101.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16    	11864236	       101.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16    	11676818	       102.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16    	11630996	       102.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16    	11400414	       102.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16    	11879569	       102.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16    	11721788	       103.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16    	11719070	       102.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParallelParamRoute-16    	11723188	       102.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16       	23083449	        51.34 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16       	22052076	        51.14 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16       	22708736	        51.51 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16       	22616936	        51.04 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16       	22577557	        50.99 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16       	22668439	        50.93 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16       	23117210	        51.14 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16       	23006148	        51.02 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16       	23073500	        50.95 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute1-16       	23045214	        51.31 ns/op	      32 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16       	16898090	        68.67 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16       	17288049	        68.84 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16       	17056802	        68.73 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16       	17238148	        68.87 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16       	16886133	        69.26 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16       	17065510	        68.86 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16       	17283754	        68.19 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16       	16700596	        68.33 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16       	17585026	        68.61 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute2-16       	17366158	        68.07 ns/op	      64 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16       	15619842	        75.92 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16       	15732661	        76.15 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16       	15635606	        76.01 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16       	14272570	        75.79 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16       	15588198	        75.48 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16       	15666471	        75.56 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16       	15345366	        75.26 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16       	15781736	        75.76 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16       	15650162	        76.27 ns/op	      96 B/op	       1 allocs/op
BenchmarkFastParamRoute3-16       	15501382	        75.50 ns/op	      96 B/op	       1 allocs/op
PASS
ok  	github.com/FlavioCFOliveira/MuxMaster	115.205s
