goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkStaticRoute-16           	48198525	        25.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	47374699	        24.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	47589765	        24.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	48415152	        24.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	47893678	        24.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	47646248	        24.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	48342679	        24.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	47727910	        24.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	47585548	        24.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkStaticRoute-16           	47986108	        24.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamRoute1-16           	11319598	       108.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	11349807	       109.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	11115332	       107.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	11228395	       108.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	11175600	       107.5 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	11419888	       107.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	11046115	       108.3 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	11026082	       106.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	10810351	       107.2 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute1-16           	11214177	       107.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 9254083	       133.3 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8940343	       133.9 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8922534	       132.0 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 9098912	       132.5 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 9205143	       132.3 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 9062758	       132.0 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 8965704	       132.4 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 9145406	       134.3 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 9146887	       130.6 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute2-16           	 9116916	       133.5 ns/op	     448 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8746371	       134.5 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8868072	       135.4 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8835684	       134.3 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8725486	       136.4 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8980732	       134.8 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 9012662	       135.2 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8763314	       136.2 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8848520	       136.0 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 8682228	       134.4 ns/op	     480 B/op	       1 allocs/op
BenchmarkParamRoute3-16           	 9002557	       135.5 ns/op	     480 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	11330601	       107.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	11093479	       107.6 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	11147553	       106.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	11218044	       107.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	11001866	       109.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkWildcardRoute-16         	10661700	       107.0 ns/op	     416 B/op	       1 allocs/op
