goos: linux
goarch: amd64
pkg: competitor/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
                                     │ /tmp/muxperf/final/competitor_main.txt │
                                     │                 sec/op                 │
MuxMasterParamRoute1-16                                          1.000 ± 0%
MuxMasterParamRoute2-16                                          1.000 ± 0%
MuxMasterParamRoute3-16                                          1.000 ± 0%
MuxMasterWildcardRoute-16                                        1.000 ± 0%
MuxMasterNotFound-16                                             3.000 ± 0%
MuxMasterParallelStaticRoute-16                                  0.000 ± 0%
MuxMasterParallelParamRoute-16                                   1.000 ± 0%
HTTProuterStaticRoute-16                                         0.000 ± 0%
HTTProuterParamRoute1-16                                         1.000 ± 0%
HTTProuterParamRoute2-16                                         1.000 ± 0%
HTTProuterParamRoute3-16                                         1.000 ± 0%
HTTProuterWildcardRoute-16                                       1.000 ± 0%
HTTProuterNotFound-16                                            3.000 ± 0%
HTTProuterParallelStaticRoute-16                                 0.000 ± 0%
HTTProuterParallelParamRoute-16                                  1.000 ± 0%
BunRouterStaticRoute-16                                          3.000 ± 0%
BunRouterParamRoute1-16                                          3.000 ± 0%
BunRouterParamRoute2-16                                          3.000 ± 0%
BunRouterParamRoute3-16                                          3.000 ± 0%
BunRouterWildcardRoute-16                                        3.000 ± 0%
BunRouterNotFound-16                                             4.000 ± 0%
BunRouterParallelStaticRoute-16                                  3.000 ± 0%
BunRouterParallelParamRoute-16                                   3.000 ± 0%
ChiStaticRoute-16                                                2.000 ± 0%
ChiParamRoute1-16                                                4.000 ± 0%
ChiParamRoute2-16                                                4.000 ± 0%
ChiParamRoute3-16                                                4.000 ± 0%
ChiWildcardRoute-16                                              4.000 ± 0%
ChiNotFound-16                                                   5.000 ± 0%
ChiParallelStaticRoute-16                                        2.000 ± 0%
ChiParallelParamRoute-16                                         4.000 ± 0%
MuxMasterFastStaticRoute-16                                      0.000 ± 0%
MuxMasterFastParamRoute1-16                                      1.000 ± 0%
MuxMasterFastParamRoute2-16                                      1.000 ± 0%
MuxMasterFastParamRoute3-16                                      1.000 ± 0%
MuxMasterFastWildcardRoute-16                                    1.000 ± 0%
MuxMasterFastParallelStaticRoute-16                              0.000 ± 0%
MuxMasterFastParallelParamRoute-16                               1.000 ± 0%
MuxMasterPooledStaticRoute-16                                    0.000 ± 0%
MuxMasterPooledParamRoute1-16                                    0.000 ± 0%
MuxMasterPooledParamRoute2-16                                    0.000 ± 0%
MuxMasterPooledParamRoute3-16                                    0.000 ± 0%
MuxMasterPooledWildcardRoute-16                                  0.000 ± 0%
MuxMasterPooledParallelParamRoute-16                             0.000 ± 0%
GorillaMuxStaticRoute-16                                         7.000 ± 0%
GorillaMuxParamRoute1-16                                         8.000 ± 0%
GorillaMuxParamRoute2-16                                         8.000 ± 0%
GorillaMuxParamRoute3-16                                         8.000 ± 0%
GorillaMuxWildcardRoute-16                                       8.000 ± 0%
GorillaMuxNotFound-16                                            4.000 ± 0%
GorillaMuxParallelStaticRoute-16                                 7.000 ± 0%
GorillaMuxParallelParamRoute-16                                  8.000 ± 0%
geomean                                                                     ¹
¹ summaries must be >0 to compute geomean
