goos: linux
goarch: amd64
pkg: competitor/bench
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkHTTProuterParamRoute3-16               	15362253	        76.89 ns/op	      96 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16             	23329450	        50.28 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16             	23535411	        50.50 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16             	23587722	        50.08 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16             	23416665	        50.38 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterWildcardRoute-16             	23115552	        50.63 ns/op	      32 B/op	       1 allocs/op
BenchmarkHTTProuterNotFound-16                  	 2790096	       416.3 ns/op	      96 B/op	       3 allocs/op
BenchmarkHTTProuterNotFound-16                  	 2835351	       425.7 ns/op	      95 B/op	       3 allocs/op
BenchmarkHTTProuterNotFound-16                  	 2831610	       417.5 ns/op	      95 B/op	       3 allocs/op
BenchmarkHTTProuterNotFound-16                  	 2834848	       420.7 ns/op	      95 B/op	       3 allocs/op
BenchmarkHTTProuterNotFound-16                  	 2778853	       418.8 ns/op	      96 B/op	       3 allocs/op
BenchmarkHTTProuterParallelStaticRoute-16       	253136838	         4.824 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterParallelStaticRoute-16       	248642851	         4.841 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterParallelStaticRoute-16       	247555714	         4.867 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterParallelStaticRoute-16       	246735968	         4.883 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterParallelStaticRoute-16       	244940979	         4.898 ns/op	       0 B/op	       0 allocs/op
BenchmarkHTTProuterParallelParamRoute-16        	57901915	        22.36 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParallelParamRoute-16        	52029332	        22.35 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParallelParamRoute-16        	53774308	        22.57 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParallelParamRoute-16        	52662434	        22.54 ns/op	      64 B/op	       1 allocs/op
BenchmarkHTTProuterParallelParamRoute-16        	53182257	        22.58 ns/op	      64 B/op	       1 allocs/op
BenchmarkBunRouterStaticRoute-16                	 6191850	       187.8 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterStaticRoute-16                	 6444999	       187.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterStaticRoute-16                	 6299800	       186.8 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterStaticRoute-16                	 6428166	       188.2 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterStaticRoute-16                	 6367923	       187.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute1-16                	 6602522	       183.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute1-16                	 6741421	       181.7 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute1-16                	 6669805	       181.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute1-16                	 6626966	       182.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute1-16                	 6475473	       186.6 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute2-16                	 5898955	       202.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute2-16                	 5785891	       203.4 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute2-16                	 5727524	       205.2 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute2-16                	 5885342	       204.3 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute2-16                	 5963775	       204.5 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute3-16                	 5864782	       203.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute3-16                	 5860848	       203.6 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute3-16                	 5888844	       201.3 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute3-16                	 5882060	       202.4 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParamRoute3-16                	 5920095	       202.9 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterWildcardRoute-16              	 6870225	       174.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterWildcardRoute-16              	 6938152	       173.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterWildcardRoute-16              	 6916446	       173.3 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterWildcardRoute-16              	 6908215	       173.9 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterWildcardRoute-16              	 6875596	       171.6 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterNotFound-16                   	 3640201	       328.5 ns/op	     153 B/op	       4 allocs/op
BenchmarkBunRouterNotFound-16                   	 3828330	       332.6 ns/op	     150 B/op	       4 allocs/op
BenchmarkBunRouterNotFound-16                   	 3797278	       328.7 ns/op	     150 B/op	       4 allocs/op
BenchmarkBunRouterNotFound-16                   	 3853532	       325.3 ns/op	     149 B/op	       4 allocs/op
BenchmarkBunRouterNotFound-16                   	 3820256	       328.4 ns/op	     150 B/op	       4 allocs/op
BenchmarkBunRouterParallelStaticRoute-16        	 9363354	       126.1 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelStaticRoute-16        	 9693199	       126.6 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelStaticRoute-16        	 9436750	       127.2 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelStaticRoute-16        	 9614656	       125.9 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelStaticRoute-16        	 9470722	       126.7 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelParamRoute-16         	 9591057	       126.7 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelParamRoute-16         	 9503010	       126.9 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelParamRoute-16         	 9567920	       126.2 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelParamRoute-16         	 9412942	       125.6 ns/op	     416 B/op	       3 allocs/op
BenchmarkBunRouterParallelParamRoute-16         	 9535677	       127.0 ns/op	     416 B/op	       3 allocs/op
BenchmarkChiStaticRoute-16                      	 5356742	       229.3 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiStaticRoute-16                      	 5457358	       219.4 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiStaticRoute-16                      	 5440602	       220.8 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiStaticRoute-16                      	 5434244	       220.8 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiStaticRoute-16                      	 5531882	       217.8 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiParamRoute1-16                      	 3342208	       359.0 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute1-16                      	 3214215	       365.9 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute1-16                      	 3300632	       455.1 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute1-16                      	 3230341	       394.5 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute1-16                      	 3059006	       399.2 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute2-16                      	 2604781	       444.3 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute2-16                      	 2725272	       462.4 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute2-16                      	 2672476	       453.0 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute2-16                      	 2606494	       447.7 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute2-16                      	 2759455	       463.6 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute3-16                      	 2680905	       464.9 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute3-16                      	 2265333	       551.0 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute3-16                      	 2611978	       452.5 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute3-16                      	 2639900	       457.3 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiParamRoute3-16                      	 2376609	       576.7 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiWildcardRoute-16                    	 3243001	       364.9 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiWildcardRoute-16                    	 3323670	       382.1 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiWildcardRoute-16                    	 2952528	       437.0 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiWildcardRoute-16                    	 3307321	       371.6 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiWildcardRoute-16                    	 3198680	       381.9 ns/op	     704 B/op	       4 allocs/op
BenchmarkChiNotFound-16                         	 2165097	       576.2 ns/op	     478 B/op	       5 allocs/op
BenchmarkChiNotFound-16                         	 2251693	       476.3 ns/op	     475 B/op	       5 allocs/op
BenchmarkChiNotFound-16                         	 2465697	       453.0 ns/op	     470 B/op	       5 allocs/op
BenchmarkChiNotFound-16                         	 2554388	       498.7 ns/op	     468 B/op	       5 allocs/op
BenchmarkChiNotFound-16                         	 2052188	       500.9 ns/op	     481 B/op	       5 allocs/op
BenchmarkChiParallelStaticRoute-16              	 8701560	       147.8 ns/op	     368 B/op	       2 allocs/op
BenchmarkChiParallelStaticRoute-16              	 8279272	       148.5 ns/op	     368 B/op	       2 allocs/op
