goos: linux
goarch: amd64
pkg: github.com/FlavioCFOliveira/MuxMaster
cpu: AMD Ryzen 9 5900HX with Radeon Graphics        
BenchmarkPooledFastParam3-16           	13840279	        85.02 ns/op	      24 B/op	       1 allocs/op
BenchmarkPooledFastParam3-16           	13939754	        84.66 ns/op	      24 B/op	       1 allocs/op
BenchmarkPooledFastParam3-16           	13902319	        84.50 ns/op	      24 B/op	       1 allocs/op
BenchmarkPooledFastParam3-16           	13779938	        84.75 ns/op	      24 B/op	       1 allocs/op
BenchmarkPooledFastParam3-16           	14058318	        84.73 ns/op	      24 B/op	       1 allocs/op
BenchmarkPooledFastParam3-16           	14151027	        84.73 ns/op	      24 B/op	       1 allocs/op
BenchmarkPooledFastParallelParam-16    	85434542	        15.87 ns/op	      24 B/op	       1 allocs/op
BenchmarkPooledFastParallelParam-16    	70006905	        16.07 ns/op	      24 B/op	       1 allocs/op
BenchmarkPooledFastParallelParam-16    	72518769	        16.40 ns/op	      24 B/op	       1 allocs/op
BenchmarkPooledFastParallelParam-16    	71415261	        16.79 ns/op	      24 B/op	       1 allocs/op
BenchmarkPooledFastParallelParam-16    	79494272	        16.94 ns/op	      24 B/op	       1 allocs/op
BenchmarkPooledFastParallelParam-16    	70708143	        17.16 ns/op	      24 B/op	       1 allocs/op
BenchmarkPooledFastParallelParam-16    	69782286	        16.98 ns/op	      24 B/op	       1 allocs/op
BenchmarkPooledFastParallelParam-16    	72843128	        17.01 ns/op	      24 B/op	       1 allocs/op
BenchmarkPooledFastParallelParam-16    	77223699	        16.98 ns/op	      24 B/op	       1 allocs/op
BenchmarkPooledFastParallelParam-16    	76973913	        17.11 ns/op	      24 B/op	       1 allocs/op
PASS
ok  	github.com/FlavioCFOliveira/MuxMaster	100.451s
